id_empleado,nombre,cedula,cargo,fecha_ingreso,telefono,email
1,Vito Félix Huertas Benavent,7608210978,Confeccionista,2022-03-14,+34722 820 671,medinamarcial@pinilla.com
2,Horacio del Jover,7415020717,Supervisor,2021-04-14,+34 720 47 03 46,cortinaefrain@gmail.com
3,Alex Carbajo,4259445937,Supervisor,2023-09-12,+34 600 67 70 39,elvirazorrilla@avila.es
4,Valentina Vega Osorio,2908958362,Cortador,2022-08-20,+34717755798,edgardo40@gmail.com
5,Nacho Angulo Chamorro,508147970,Cortador,2023-01-06,+34 700484266,jgiralt@zamorano.es
6,Macario Palau-Patiño,761457649,Confeccionista,2023-08-22,+34658 974 953,montserratvila@hotmail.com
7,Eligia Diaz Cabezas,6066754716,Confeccionista,2023-06-20,+34714 57 83 12,oscar67@hotmail.com
8,Modesta Vera Melero,3959430002,Confeccionista,2023-04-03,+34 713 67 28 77,horacio91@canas-escamilla.net
9,María Jesús Lago Núñez,6760885314,Confeccionista,2024-11-10,+34 740 966 816,eligiotoledo@mendizabal-badia.es
10,Yaiza Ricart,3229147515,Cortador,2020-09-30,+34 833250692,terueljuana@cordero-mendez.es
11,Luis Miguel Canals-Montesinos,3973430488,Diseñador,2024-02-09,+34 735 44 18 94,fdiego@hotmail.com
12,Manuela Varela Lozano,7716293788,Diseñador,2023-12-09,+34682 669 106,grasgabriela@hotmail.com
13,Amador Clavero-Llorens,6325577446,Empacador,2021-10-19,+34890541179,leyre99@verdu.com
14,Genoveva Hoyos Vilalta,2051422830,Empacador,2021-07-27,+34 723381614,sanabriaprudencia@morales.es
15,Basilio Gabino Solé Bermejo,2122428123,Empacador,2025-05-02,+34 723174136,clotilde59@hotmail.com
16,Clarisa Duran Lledó,6316329407,Empacador,2021-07-28,+34713 92 81 67,amatheraclio@hotmail.com
17,Ricarda Vilaplana Porcel,5004879981,Confeccionista,2022-02-14,+34 749 83 75 73,albinosandoval@torrents-ferrandiz.es
18,Germán del Tena,7763945995,Cortador,2023-11-19,+34 622 08 86 33,juan-carlosjulia@pereira.com
19,Eleuterio Poncio Reyes Marcos,1384075349,Diseñador,2022-01-10,+34 697 57 51 09,marisaherrera@olmo.es
20,Angelita Teruel Bolaños,1534876753,Empacador,2025-02-09,+34 746175875,equiroga@yahoo.com
21,Nicolasa Tudela Tejedor,7977861657,Diseñador,2023-01-22,+34 680 688 066,tovarevelia@pomares.es
22,Gema del Vera,9600500237,Empacador,2023-01-22,+34 709484473,cpedrosa@llopis.com
23,Patricio Barón Arribas,5379623144,Cortador,2022-02-10,+34674 786 603,soniaporras@gallart.es
24,Melchor Jara Donaire,602160768,Cortador,2022-05-20,+34731614846,giselapolo@bernat.org
25,Inmaculada Villena,9659217270,Diseñador,2020-11-08,+34 738376152,ruyplaza@segura.com
26,Graciano del Vega,5475178166,Supervisor,2021-11-05,+34739 481 893,cebrian54@gmail.com
27,Toño Figuerola Cabo,7706148887,Diseñador,2020-08-13,+34 721 105 018,palomosoledad@hotmail.com
28,Estrella Marquez Benito,9468251873,Supervisor,2025-03-28,+34965496609,luz68@hotmail.com
29,Nuria Gomila-Infante,9058287786,Supervisor,2021-01-01,+34 745195852,serranoamalia@yahoo.com
30,Juan José Escobar Casanova,2470357794,Cortador,2025-04-13,+34721 415 770,reinaeric@belda.net
31,Reyes de Pastor,4692603219,Supervisor,2021-01-29,+34704628364,esmeraldaarellano@yahoo.com
32,Abilio Palomo-Vendrell,7513244530,Cortador,2020-08-12,+34890 34 85 72,palegre@yahoo.com
33,Leoncio Carbajo Verdugo,6572998497,Supervisor,2022-11-16,+34 747 56 49 13,yestevez@gmail.com
34,Alonso del Nieto,4296270945,Confeccionista,2022-09-19,+34712 463 242,barberodiana@sans-moya.es
35,Rocío Ródenas Elías,191356402,Empacador,2023-06-27,+34956 47 74 14,feliciabaquero@gmail.com
36,Adriana Casas Merino,7025483219,Confeccionista,2025-02-20,+34646945383,narciso17@gmail.com
37,Anabel Armida Haro Lopez,1999711292,Cortador,2023-07-15,+34707 817 186,baronjuan-luis@roura.com
38,Lázaro Berrocal Iborra,8721102084,Confeccionista,2024-12-05,+34 989 213 658,barrioseverino@canizares.org
39,Carmelita Benavente,6919157745,Supervisor,2023-09-07,+34 730 437 868,inigosegarra@mena-villar.org
40,Cristian Andrés Mesa Fortuny,6132644731,Empacador,2021-11-28,+34977 282 605,ibarrasusanita@hotmail.com
41,Lalo Mas Cal,940319164,Empacador,2020-07-08,+34705 915 007,adora53@gmail.com
42,Danilo Pons Hernando,2640780315,Confeccionista,2022-08-15,+34736 68 13 19,danielmarin@olivera.es
43,Fanny Manjón Llamas,7830863716,Confeccionista,2022-12-15,+34 712 60 14 39,vinasbasilio@huguet-giner.com
44,Ovidio Ríos Cárdenas,607033167,Supervisor,2021-10-05,+34749 48 77 43,hlago@yahoo.com
45,Armando Clemente Torrents,6385889327,Confeccionista,2025-02-25,+34739727693,jennifer79@gmail.com
46,Pacífica Muro Asenjo,728266162,Cortador,2024-08-25,+34704 94 14 98,losaabilio@gmail.com
47,Mamen Blanca Narváez,5202918564,Supervisor,2022-04-30,+34849043039,tprado@carmona.com
48,Luciana Zurita Menendez,1835109569,Cortador,2022-03-07,+34 718 86 12 39,seguiremedios@yahoo.com
49,Begoña de Villena,2813983028,Supervisor,2025-01-27,+34 837455161,gguijarro@roca-baez.net
50,Lupita Cabezas Rubio,4846859376,Diseñador,2024-04-15,+34705 32 70 92,mascarosamanta@alberola.es
51,Maricruz Borja Quirós,6960438278,Supervisor,2024-12-14,+34 624584954,joaquinricart@gmail.com
52,Marcela Lucena-Cano,7348181934,Cortador,2024-06-21,+34743157497,jmanzanares@estevez.es
