id_cliente,nombre_empresa,nit,direccion,ciudad,contacto_nombre,contacto_telefono,contacto_email
1,Aguilera-Priego,3357572351,"Ronda Calixta Rosales 21
Ciudad, 04828",Álava,Marisol Adadia Santana,+34726395628,tnogues@sans.com
2,Garriga LLC,8297897460,"Via Febe Gallo 105 Puerta 3 
Cádiz, 19459",Valladolid,Ascensión Manso Solera,+34735136965,luis-miguelporcel@yahoo.com
3,Jordán-Izquierdo,6734725844,"Pasaje de Rosenda Barroso 36 Puerta 3 
Córdoba, 03098",La Coruña,Amaro Villalba Lago,+34869 01 76 72,hvicens@hotmail.com
4,Peña Inc,1187335303,"Pasaje Isidoro Agudo 146
Cáceres, 59251",Guadalajara,Josefa Heredia-Bermudez,+34733403084,fidelabarros@poza.com
5,Galván PLC,2084355067,"Alameda Candela Amigó 409 Piso 9 
Barcelona, 81958",Zaragoza,Carmela Bosch Echevarría,+34713156572,auroravilla@hotmail.com
6,Conesa PLC,5782749652,"Vial de Aroa Ripoll 41
Santa Cruz de Tenerife, 98520",Guipúzcoa,Jose Francisco Varela Lastra,+34728 140 110,iguerra@yahoo.com
7,Rodríguez Ltd,3561357482,"Avenida Blas Alberto 35 Puerta 6 
Ourense, 26297",Cádiz,Felicidad Samper Maestre,+34 956 99 26 44,expositovicente@hotmail.com
8,Casanovas Group,9010118116,"Pasaje de Lorenzo Llobet 756
Tarragona, 77091",Álava,Nicolás Giner Anaya,+34981 80 16 71,andresjaime@gmail.com
9,"Molins, Tello and Bonet",3537124186,"Plaza Petrona Torrens 415 Piso 4 
Palencia, 59333",Valladolid,Cruz del Villegas,+34 861 211 787,venceslas94@hotmail.com
10,Cuadrado-Marti,4375607040,"Glorieta de Ainara Parejo 11 Puerta 4 
Teruel, 65661",Lleida,Tere Pagès Requena,+34 730 55 28 76,mirtamesa@ferrer.es
11,"Leiva, Nogueira and Seguí",7949999192,"Plaza de Fortunato Suarez 483
Pontevedra, 27980",Ceuta,Diego Priego Santiago,+34676319570,sierrafeliciana@toro.com
12,Guardiola-Rodriguez,8044904366,"Paseo Martirio Vázquez 85
Lugo, 90031",León,Santos Lucena Taboada,+34954 511 822,sabaslasa@villaverde.es
13,Ruano Group,4047778814,"Plaza de Lupita Casanova 99 Piso 9 
Cáceres, 67459",Badajoz,Bruno Casares Asensio,+34746 53 97 06,miguela93@yahoo.com
14,Barrio-Botella,7556774070,"Calle Maximiliano Salas 5
Córdoba, 49959",Zamora,Ángeles Roig Pagès,+34702 12 76 69,maximo81@yahoo.com
15,Balaguer Group,3427860578,"Avenida Valentín Herranz 53
Segovia, 67740",Huesca,Rodrigo Valbuena-Luján,+34721 62 62 31,eladio49@hotmail.com
16,Toledo and Sons,0107168449,"Cañada de Luisa Gaya 35 Piso 3 
La Rioja, 47829",Alicante,Aitor Luis Miguel Ripoll León,+34 704194899,talaveradaniela@yahoo.com
17,"Báez, Rey and Casanova",2264449756,"Avenida Azeneth Gual 51 Puerta 3 
Almería, 05088",La Coruña,Carmela Calvet Agustí,+34 718 789 361,seve27@carro.org
18,Fábregas Group,7660311741,"Glorieta Candelas Giner 23
Huelva, 15954",Lleida,Vanesa Manzano Moll,+34725 07 68 67,uriarteolegario@aguilo-tormo.com
19,"Goñi, Quintana and Hurtado",7419898814,"Pasadizo Atilio Andreu 61
Almería, 40630",La Coruña,Teófila Ochoa Bartolomé,+34716943626,perelloangelina@gmail.com
20,Bernat and Sons,7221754680,"Acceso de América Alvarado 1
Baleares, 96642",Girona,Eugenio Alberola Moraleda,+34714993312,alcides48@salamanca.com
21,"Marin, Puig and Toledo",9736423395,"Cuesta Máxima Carrión 59 Piso 5 
Sevilla, 83930",Huesca,Adriana Arnaiz Vizcaíno,+34846 82 30 92,torrerodolfo@puga.com
22,Polo Inc,0555464492,"Glorieta Gema Anaya 303
La Rioja, 85803",Teruel,Febe Higueras Alcaraz,+34657 56 63 81,cocajose-angel@muniz.com
23,Cepeda-Madrigal,8919292802,"Cañada de René Borrego 68 Puerta 6 
Alicante, 21756",Guipúzcoa,Charo Lobo Sastre,+34 821 608 726,maria-jose98@gmail.com
24,"Colomer, Escrivá and Alberto",4865611066,"Pasaje de Abel Sancho 2 Puerta 1 
Albacete, 93488",Toledo,Rosaura Olivares,+34 730819630,alejo54@torre.org
25,"Canet, Checa and Delgado",2293640034,"Cuesta de Eusebia Alegre 56 Piso 9 
Córdoba, 82011",Barcelona,Azahara Catalán Villaverde,+34727 038 632,pascual99@yahoo.com
26,Cobos-Díaz,1854779670,"Calle de Abigaíl Aliaga 47 Piso 0 
Tarragona, 21857",Málaga,Jordán León Julián,+34 927012187,zamoranoteresita@yahoo.com
27,Esteban-Pinilla,7530646018,"Rambla de Nélida Mariscal 1
Palencia, 99407",Jaén,Jesús Espinosa Pla,+34860 918 407,carlitoordonez@hotmail.com
28,"Guzmán, Fortuny and Escrivá",5096760027,"Paseo de Mariana Arco 70
Baleares, 62595",Almería,Viviana Sandra Gutiérrez Molins,+34745 08 51 58,maria-cristina02@yahoo.com
